20:33:32 [Test worker] INFO  manager.ApplicationManager - Tests starts on FireFox Driver
20:33:46 [Test worker] INFO  manager.ApplicationManager - Navigate to link ---> https://ilcarro.xyz/search
20:33:46 [Test worker] INFO  test.TestBase - Start test -->registrationWrongPassword
20:33:46 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //a[text()=' Sign up ']
20:33:46 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //a[text()=' Sign up ']was found
20:33:47 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: name
20:33:47 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: namewas found
20:33:48 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: lastName
20:33:48 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: lastNamewas found
20:33:49 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: email
20:33:49 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: emailwas found
20:33:50 [Test worker] INFO  manager.MyListener - start search element by locator --->By.id: password
20:33:50 [Test worker] INFO  manager.MyListener - The element with locator ---> By.id: passwordwas found
20:33:51 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: label[for='terms-of-use']
20:33:51 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: label[for='terms-of-use']was found
20:33:52 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: div[class='input-container'] div:nth-child(1)
20:33:52 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: div[class='input-container'] div:nth-child(1)was found
20:33:52 [Test worker] INFO  manager.MyListener - start search element by locator --->By.cssSelector: div[class='input-container'] div:nth-child(2)
20:33:52 [Test worker] INFO  manager.MyListener - The element with locator ---> By.cssSelector: div[class='input-container'] div:nth-child(2)was found
20:33:52 [Test worker] INFO  manager.MyListener - start search element by locator --->By.xpath: //div[@class='header']//a[@class='logo']
20:33:52 [Test worker] INFO  manager.MyListener - The element with locator ---> By.xpath: //div[@class='header']//a[@class='logo']was found
20:33:56 [Test worker] INFO  test.TestBase - **********************************
